iter	Passed	Remaining
251	3818	11335
252	3833	11319
253	3848	11304
254	3864	11290
255	3877	11269
256	3892	11252
257	3904	11229
258	3919	11213
259	3932	11193
260	3945	11171
261	3960	11155
262	3975	11140
263	3989	11121
264	4002	11101
265	4016	11083
266	4029	11061
267	4042	11041
268	4057	11027
269	4073	11013
270	4088	10998
271	4102	10979
272	4115	10960
273	4131	10947
274	4144	10927
275	4156	10903
276	4169	10881
277	4178	10851
278	4194	10838
279	4208	10821
280	4223	10806
281	4239	10795
282	4255	10782
283	4269	10764
284	4285	10751
285	4298	10731
286	4313	10715
287	4327	10699
288	4342	10683
289	4358	10671
290	4375	10660
291	4392	10649
292	4404	10628
293	4420	10615
294	4436	10602
295	4452	10590
296	4468	10576
297	4484	10565
298	4500	10550
299	4516	10537
300	4531	10524
301	4549	10513
302	4564	10500
303	4581	10488
304	4597	10475
305	4613	10463
306	4630	10451
307	4646	10438
308	4655	10411
309	4672	10400
310	4687	10384
311	4703	10371
312	4720	10361
313	4737	10349
314	4754	10339
315	4773	10332
316	4790	10321
317	4806	10307
318	4822	10295
319	4842	10290
320	4857	10275
321	4873	10260
322	4888	10245
323	4904	10232
324	4920	10218
325	4935	10204
326	4951	10189
327	4966	10174
328	4980	10157
329	4996	10143
330	5010	10126
331	5026	10112
332	5042	10100
333	5058	10086
334	5073	10071
335	5089	10057
336	5103	10041
337	5118	10024
338	5132	10007
339	5145	9989
340	5164	9979
341	5180	9967
342	5197	9956
343	5214	9943
344	5231	9932
345	5249	9921
346	5262	9903
347	5276	9885
348	5289	9867
349	5304	9851
350	5322	9841
351	5340	9832
352	5360	9824
353	5380	9819
354	5398	9808
355	5419	9804
356	5441	9801
357	5458	9788
358	5475	9776
359	5490	9760
360	5505	9744
361	5520	9729
362	5536	9716
363	5551	9699
364	5566	9684
365	5581	9668
366	5596	9653
367	5612	9638
368	5625	9620
369	5641	9605
370	5654	9586
371	5669	9571
372	5685	9556
373	5699	9539
374	5712	9520
375	5727	9504
376	5741	9487
377	5757	9474
378	5774	9461
379	5792	9450
380	5820	9456
381	5842	9452
382	5862	9444
383	5879	9431
384	5895	9417
385	5908	9398
386	5922	9381
387	5937	9365
388	5951	9348
389	5965	9331
390	5980	9314
391	5994	9298
392	6009	9282
393	6025	9267
394	6041	9253
395	6055	9235
396	6070	9220
397	6086	9206
398	6103	9193
399	6119	9178
400	6132	9160
401	6147	9145
402	6161	9128
403	6177	9113
404	6190	9094
405	6202	9075
